# Temp          Free            Mag_h           Mag_h1
0.6400000000	-0.6129115810	0.0000056161	0.5039208531	
0.6500000000	-0.6011454256	-0.0000015127	0.4894281924	
0.6600000000	-0.5896787360	0.0000003860	0.4741783738	
0.6700000000	-0.5784987284	-0.0000006896	0.4556757212	
0.6800000000	-0.5675928918	-0.0000015347	0.4369401336	
0.6900000000	-0.5569628969	-0.0000012905	0.4131693542	
0.7000000000	-0.5465911702	0.0000004288	0.3808010519	
0.7100000000	-0.5364835015	-0.0000008952	0.3237260580	
0.7200000000	-0.5266378394	0.0000002722	0.1957359463	
0.7300000000	-0.5170607214	-0.0000005249	0.0740676746
0.7400000000 	-0.5077521925 	0.0000002491 	0.0292977728	
0.7500000000	-0.4987146173	-0.0000006056	0.0139803123	
0.7600000000	-0.4899445584	-0.0000001857	0.0076981462	
0.7700000000	-0.4814387619	0.0000000147	0.0046855467	
0.7800000000	-0.4731970235	0.0000001732	0.0030730057	
0.7900000000	-0.4652109105	0.0000001629	0.0021311222	
0.8000000000	-0.4574734758	0.0000002427	0.0015319559	
0.8100000000	-0.4499790066	0.0000001265	0.0011601542	
0.8200000000	-0.4427183611	0.0000001273	0.0008968048	
0.8300000000	-0.4356831371	0.0000003658	0.0007181618	
0.8400000000	-0.4288657971	0.0000001673	0.0005781392
