# Temp          Free            Mag_h           Mag_h1
0.8000000000	-0.5982272079	0.0000000090	0.4091808498	
0.8100000000	-0.5895975455	0.0000000078	0.3870053589	
0.8200000000	-0.5811039599	0.0000000295	0.3560962379	
0.8300000000	-0.5727480681	-0.0000000148	0.3009406626	
0.8400000000	-0.5645362854	0.0000000046	0.1932936758	
0.8500000000	-0.5564738763	-0.0000000208	0.0865534618	
0.8600000000	-0.5485660904	-0.0000000234	0.0387239493	
0.8700000000	-0.5408152116	-0.0000000026	0.0196442921	
0.8800000000	-0.5332287360	-0.0000000140	0.0112849465	
0.8900000000	-0.5258045550	-0.0000000218	0.0069575175	
0.9000000000	-0.5185457344	0.0000000077	0.0046257158	
0.9100000000	-0.5114514641	-0.0000000303	0.0032042686	
0.9200000000	-0.5045203106	0.0000000146	0.0023426865	
0.9300000000	-0.4977522665	0.0000000190	0.0017491032	
0.9400000000	-0.4911438875	-0.0000000170	0.0013516319	
0.9500000000	-0.4846925056	-0.0000000145	0.0010700020	
0.9600000000	-0.4783955433	-0.0000000021	0.0008625363	
0.9700000000	-0.4722497102	-0.0000000064	0.0007071166	
0.9800000000	-0.4662510397	-0.0000000079	0.0005917394
0.9900000000 	-0.4603959492 	0.0000000019 	0.0005002723	
1.0000000000	-0.4546809911	-0.0000000028	0.0004288516
