#Delta  Tc      Error
0.04    0.08    0.01
0.08    0.17    0.01
0.12    0.26    0.01
0.16    0.34    0.01
0.20    0.42    0.02
#0.22    0.46    0.02    
0.24    0.50    0.02
#0.26    0.54    0.02
0.28    0.58    0.02
0.30    0.62    0.01
0.32    0.64    0.02
0.34    0.685   0.005
0.36    0.715   0.005
0.38    0.735   0.005
0.40    0.74    0.01
0.45    0.78    0.01
0.50    0.815   0.0025
0.55    0.84    0.01
0.60    0.86    0.01
0.65    0.88    0.01
0.72    0.91    0.01
0.80    0.95    0.01
