# Temp  Free            Mag_h
0.50	-0.824689831	0.8522427678	
0.52	-0.7902796688	0.0907519311	
0.54	-0.7566991211	-0.5345097184	
0.56	-0.7239970595	0.4629412889	
0.58	-0.6922371364	-0.0550477803	
0.60	-0.6614957541	0.2021241635	
0.62	-0.6318797443	0.7212602496	
0.64	-0.6035449597	-0.4610334337	
0.66	-0.5767630309	0.5725373626	
0.68	-0.5522338358	-0.000003336	
0.70	-0.5296266295	-0.0000025235
#0.7010000000	-0.5285365758	0.0000007956
#0.7020000000	-0.5274531468	0.0000015886
#0.7030000000	-0.5263730524	0.0000019549
#0.7040000000	-0.5252990864	0.0000014069
#0.7050000000	-0.5242275487	0.0000017509
#0.7060000000	-0.5231590749	0.0000024004
#0.7070000000	-0.5220951689	0.0000032411
#0.7080000000	-0.5210347169	-0.0000036776
#0.7090000000	-0.5199780571	-0.0000057093
0.7100000000	-0.5189265353	-0.0000006864
#0.7110000000	-0.5178769400	-0.0000050310
#0.7120000000	-0.5168319653	0.0000026732
#0.7130000000	-0.5157910539	-0.0000075084
#0.7140000000	-0.5147537380	0.0000008332
0.7150000000	-0.5137199972	-0.0000051606
#0.7160000000	-0.5126902573	-0.0000005225
#0.7170000000	-0.5116639883	-0.0000009051
#0.7180000000	-0.5106411726	0.0000000509
#0.7190000000	-0.5096232014	-0.0000057612
0.72	-0.5086103798	0.0000055824	
#0.7210000000	-0.5075968479	-0.0000018790
#0.7220000000	-0.5065889617	0.0000002674
#0.7230000000	-0.5055849435	0.0000002061
#0.7240000000	-0.5045855137	-0.0000014290
0.7250000000	-0.5035889891	-0.0000016951
#0.7260000000	-0.5025939522	0.0000014617
#0.7270000000	-0.5016051873	0.0000002957
#0.7280000000	-0.5006195493	0.0000029263
#0.7290000000	-0.4996376594	0.0000000169
0.7300000000	-0.4986589297	0.0000001987
#0.7310000000	-0.4976846472	0.0000016517
#0.7320000000	-0.4967130927	-0.0000026896
#0.7330000000	-0.4957453343	-0.0000006397
#0.7340000000	-0.4947817351	-0.0000018147
0.7350000000	-0.4938209899	0.0000016401
#0.7360000000	-0.4928645250	-0.0000038493
#0.7370000000	-0.4919113616	-0.0000002613
#0.7380000000	-0.4909616497	-0.0000001489
#0.7390000000	-0.4900152940	0.0000035920
0.74	-0.4890747755	-0.0000003913	
0.76	-0.4709399271	-0.0000016712	
0.78	-0.454091724	0.0000000268	
0.80	-0.4384250072	-0.0000000226	
0.82	-0.4238331859	-0.000000556	
0.84	-0.4102178358	0.0000001394	
0.86	-0.3974876529	0.0000001486	
0.88	-0.385560989	-0.0000000824	
0.90	-0.3743638207	-0.0000000448	
0.92	-0.3638324544	-0.0000000347	
0.94	-0.3539074007	0.0000000113	
0.96	-0.3445370168	-0.0000000325	
0.98	-0.335676374	-0.0000001817	
1.00	-0.3272824393	0.0000001119	
1.02	-0.319319842	0.0000000987	
1.04	-0.3117555009	-0.0000000364	
