# Temp          Free            Mag_h           Mag_h1
0.8500000000	-0.6045872177	-0.0000000111	0.5330616236	
0.8600000000	-0.5962644864	0.0000000158	0.5195698142	
0.8700000000	-0.5880700913	0.0000000068	0.5043049455	
0.8800000000	-0.5800070508	-0.0000000093	0.4867517948	
0.8900000000	-0.5720785625	-0.0000000026	0.4661065340	
0.9000000000	-0.5642890091	-0.0000000048	0.4413361251	
0.9100000000	-0.5566434061	-0.0000000112	0.4111443162	
0.9200000000	-0.5491473238	-0.0000000028	0.3743995428	
0.9300000000	-0.5418064267	0.0000000100	0.3308295310	
0.9400000000	-0.5346265371	-0.0000000055	0.2824234962	
0.9500000000	-0.5276073949	0.0000000081	0.2336897552	
0.9600000000	-0.5207511164	0.0000000325	0.1894059777
0.9700000000 	-0.5140540805 	-0.0000000066 	0.1524184346	
0.9800000000	-0.5075130783	0.0000000081	0.1229814962	
0.9900000000	-0.5011250286	0.0000000004	0.1000864506	
1.0000000000	-0.4948854099	0.0000000165	0.0823608339	
1.0100000000	-0.4887906487	0.0000000014	0.0686000809	
1.0200000000	-0.4828370688	0.0000000120	0.0578051545	
1.0300000000	-0.4770206188	0.0000000076	0.0492382981	
1.0400000000	-0.4713371714	0.0000000171	0.0423788317	
1.0500000000	-0.4657852140	0.0000000021	0.0367994756
