# Temp          Free            Mag_h           Mag_h1
0.6800000000	-0.6263106354   0.0000001373	0.6158776879	
0.6900000000	-0.6162117803	-0.0000002092	0.6070489287	
0.7000000000	-0.6062766864	0.0000000767	0.5977971554	
0.7100000000	-0.5965034513	-0.0000002763	0.5879740119	
0.7200000000	-0.5868928426	-0.0000001013	0.5775998831	
0.7300000000	-0.5774444022	0.0000000265	0.5664077401	
0.7400000000	-0.5681598177	0.0000000342	0.5542647243	
0.7500000000	-0.5590394954	-0.0000000102	0.5408492684	
0.7600000000	-0.5500859867	0.0000000087	0.5258125663	
0.7700000000	-0.5413010227	-0.0000001775	0.5086066127	
0.7800000000	-0.5326889281	-0.0000000852	0.4884554744	
0.7900000000	-0.5242523083	0.0000001019	0.4641955495	
0.8000000000	-0.5159978806	-0.0000001520	0.4343495667	
0.8100000000	-0.5079308107	-0.0000001446	0.3971044123	
0.8200000000	-0.5000576955	0.0000000466	0.3513809443	
0.8300000000	-0.4923843935	0.0000000404	0.2986814380	
0.8400000000	-0.4849144303	-0.0000000210	0.2438664883	
0.8500000000	-0.4776470102	0.0000000988	0.1937417835	
0.8600000000	-0.4705778583	0.0000000199	0.1523793787	
0.8700000000	-0.4637021873	0.0000000805	0.1203527376	
0.8800000000	-0.4570138765	-0.0000000332	0.0961991176	
0.8900000000	-0.4505064641	0.0000001948	0.0779699981	
0.9000000000	-0.4441753825	0.0000000291	0.0641456097
0.9100000000 	-0.4380134527   0.0000000855 	0.0534857772	
0.9200000000	-0.4320155715	0.0000000005	0.0451828577	
0.9300000000	-0.4261772323	-0.0000000563	0.0386075042	
0.9400000000	-0.4204924140	0.0000000015	0.0333426222	
0.9500000000	-0.4149572354	-0.0000000115	0.0290619899	
0.9600000000	-0.4095641804	-0.0000000050	0.0255481042	
0.9700000000	-0.4043101908	0.0000000234	0.0226347521	
0.9800000000	-0.3991902237	0.0000000095	0.0201895684
