# Temp          Free            Mag_h
#0.7200000000	-0.5613240432	0.7843992710	
#0.7300000000	-0.5483419469	0.7758383751	
#0.7400000000	-0.5355718870	0.7665239573	
#0.7500000000	-0.5230168464	0.7561724186	
0.7600000000	-0.5106939943	0.7446273565	
0.7700000000	-0.4986093171	0.7315699458	
0.7800000000	-0.4867772511	0.7168017626	
0.7900000000	-0.4752159489	0.6996622682	
0.8000000000	-0.4639407658	0.6794754863	
0.8100000000	-0.4529774025	0.6550321579	
0.8200000000	-0.4423520405	0.6244822145	
0.8300000000	-0.4320997682	0.5840117335	
#0.8310000000	-0.4310968551	0.5791443586	
#0.8320000000	-0.4300976638	0.5741391778	
#0.8330000000	-0.4291031434	0.5689525008	
#0.8340000000	-0.4281141381	0.5635184646	
#0.8350000000	-0.4271278664	0.5579062104	
#0.8360000000	-0.4261465236	0.5520750284	
#0.8370000000	-0.4251702291	0.5459836125	
#0.8380000000	-0.4241976862	0.5396576524	
#0.8390000000	-0.4232305032	0.5330039263	
0.8400000000	-0.4222709896	0.5260158777	
#0.8410000000	-0.4213103121	0.5187408924	
#0.8420000000	-0.4203570653	0.5110979080	
#0.8430000000	-0.4194088662	0.5031033158	
#0.8440000000	-0.4184660129	0.4946748614	
#0.8450000000	-0.4175284937	0.4858511090	
#0.8460000000	-0.4165952526	0.4765391648	
#0.8470000000	-0.4156678596	0.4667769074	
#0.8480000000	-0.4147453621	0.4564949274	
#0.8490000000	-0.4138293937	0.4457117021	
0.8500000000	-0.4129183642	0.4343830347	
0.8600000000	-0.4041222232	0.2974634469	
0.8700000000	-0.3958891852	0.1738262624	
0.8800000000	-0.3881529629	0.1044464633	
0.8900000000	-0.3808320082	0.0684779957	
0.9000000000	-0.3738790193	0.0483738817	
0.9100000000	-0.3672534889	0.0361544639	
0.9200000000	-0.3609252902	0.0281912219	
0.9300000000	-0.3548680297	0.0227125883	
0.9400000000	-0.3490582324	0.0187764689	
0.9500000000	-0.3434781962	0.0158482250	
0.9600000000	-0.3381146193	0.0136062633
