# Temp          Free            Mag_h           Mag_h1
0.7600000000	-0.5895379700	0.0000000117	0.5645232797	
0.7700000000	-0.5805841170	0.0000000093	0.5529457927	
0.7800000000	-0.5717737199	0.0000000269	0.5402029753	
0.7900000000	-0.5631104960	0.0000000968	0.5260137320	
0.8000000000	-0.5545968054	-0.0000000376	0.5099281073	
0.8100000000	-0.5462354740	-0.0000000058	0.4912197888	
0.8200000000	-0.5380306891	-0.0000000484	0.4690266550
0.8300000000 	-0.5299880200   -0.0000000311   0.4420384467	
0.8400000000	-0.5221121786	0.0000000555	0.4088136852	
0.8500000000	-0.5144096557	0.0000000332	0.3679144681	
0.8600000000	-0.5068867580	0.0000000324	0.3194352686	
0.8700000000	-0.4995479107	-0.0000000495	0.2666337192	
0.8800000000	-0.4923949725	-0.0000000087	0.2156611383	
0.8900000000	-0.4854254121	-0.0000000210	0.1715675592	
0.9000000000	-0.4786350355	-0.0000000210	0.1362100393	
0.9100000000	-0.4720196285	0.0000000253	0.1089466736	
0.9200000000	-0.4655746153	0.0000000226	0.0882062465	
0.9300000000	-0.4592939358	-0.0000000089	0.0723930374	
0.9400000000	-0.4531730152	0.0000000176	0.0602052249	
0.9500000000	-0.4472079984	0.0000000092	0.0507001951	
0.9600000000	-0.4413927971	-0.0000000492	0.0432023853
