# Temp          Free            Mag_h           Mag_h1
0.6200000000	-0.6391909781	-0.6863090396	0.7093831301	
0.6300000000	-0.6255457936	0.5179364085	0.7017606497
0.6400000000 	-0.6125135872 	0.0000980568 	0.6913194656	
0.6500000000	-0.5999773197	-0.0000249881	0.6819766760	
0.6600000000	-0.5878475014	0.0000172593	0.6724302769	
0.6700000000	-0.5760838904	-0.0000088767	0.6626808047	
0.6800000000	-0.5646572910	-0.0000068575	0.6526792645
0.6900000000 	-0.5535515681 	0.0000085811 	0.6420696974
0.7000000000 	-0.5427505246 	0.0000029194 	0.6308891177	
0.7100000000	-0.5322420108	0.0000020806	0.6188820004	
0.7200000000	-0.5220212977	0.0000003509	0.6059634686	
0.7300000000	-0.5120829216	0.0000005300	0.5919262767	
0.7400000000	-0.5024181938	-0.0000005942	0.5765771270	
0.7500000000	-0.4930274775	0.0000008884	0.5598139167	
0.7600000000	-0.4839034442	0.0000003117	0.5413007140	
0.7700000000	-0.4750535713	-0.0000001462	0.5207958221	
0.7800000000	-0.4664697212	-0.0000005958	0.4980756342	
0.7900000000	-0.4581584717	-0.0000002122	0.4729443789	
0.8000000000	-0.4501184442	0.0000000377	0.4454656839	
0.8100000000	-0.4423459587	-0.0000002473	0.4158810973	
0.8200000000	-0.4348378846	0.0000002699	0.3847609758
