# Temp          Free            Mag_h           Mag_h1
0.6800000000	-0.5927491124	-0.0000002431	0.5256527066	
0.6900000000	-0.5824983920	-0.0000004487	0.5123350024	
0.7000000000	-0.5724484736	0.0000003784	0.4980620146	
0.7100000000	-0.5625980934	-0.0000001061	0.4819945693	
0.7200000000	-0.5529472597	0.0000000216	0.4625491798	
0.7300000000	-0.5434977313	-0.0000002006	0.4385170341	
0.7400000000	-0.5342499043	0.0000003339	0.4060116708	
0.7500000000	-0.5252111024	-0.0000003497	0.3572303355	
0.7600000000	-0.5163843512	0.0000004998	0.2803828418	
0.7700000000	-0.5077780656	0.0000001033	0.1855793297	
0.7800000000	-0.4993971898	0.0000003877	0.1104552224	
0.7900000000	-0.4912413516	0.0000004046	0.0670070872	
0.8000000000	-0.4833091534	0.0000001137	0.0428468660	
0.8100000000	-0.4755966223	0.0000003500	0.0290909801
0.8200000000 	-0.4681966405 	0.0000001273 	0.1821821332	
0.8300000000	-0.4608189451	0.0000000738	0.0151918726	
0.8400000000	-0.4537437602	0.0000000861	0.0115839615	
0.8500000000	-0.4468707902	-0.0000003720	0.0090769920	
0.8600000000	-0.4401930844	-0.0000002422	0.0072818426	
0.8700000000	-0.4337061385	-0.0000000597	0.0059533035	
0.8800000000	-0.4274033208	0.0000001204	0.0049444414
