# T     Cv
0.32	0.556391199999862
0.34	0.5721111999999976
0.36	0.5906385000001396
0.38	0.6122938099999188
0.4	    0.6362695999999528
0.42	0.6672268050001035
0.44	0.7013697899998657
0.46	0.7391184550000724
0.48	0.7886130000000595
0.5	    0.8382484999999711
0.52	0.9038920800001119
0.54	0.976215509999551
0.56	1.0584968800004655
0.58	1.1651025499998013
0.6	    1.2900087000000104
0.62	1.4439933300001195
0.64	1.6355164800000197
0.66	1.913453354999671
0.68	2.2159048480003545
0.7	    2.465030400000676
0.705	2.6435074799988167
0.71	2.85839184000167
0.715	3.12868555999781
0.72	3.4703136000015147
0.725	4.0275460999991655
0.73	5.465124560001673
0.735	6.487952015999474
0.74	4.222035034999997
0.76	3.247883369999979
0.78	2.7535550249999377
0.8	    2.3997674000000924
0.82	2.1300055550000634
0.84	1.9169024699998578
0.86	1.7379032650001256
0.88	1.5865227400000168
0.9	    1.4560112249997812
0.92	1.343312470000177
0.94	1.2444084250000254
0.96	1.156093439999849
0.98	1.0780034300001342
1.0	    1.0054249999999478
1.02	0.9494743950001125
1.04	0.8886339799998052
1.06	0.8390329300001685
1.08	0.7887680099999121
1.1	    0.7479936749998986
1.12	0.7083787200001387
1.14	0.6745482600000262
1.16	0.6366668699998823
