# Temp          Free            Mag_h           Mag_h1
0.7600000000	-0.5890044989	0.0000000079	0.3706775606	
0.7700000000	-0.5800650774	0.0000000294	0.3473955095	
0.7800000000	-0.5712699965	-0.0000000115	0.3089473248	
0.7900000000	-0.5626259244	-0.0000000230	0.2217861116	
0.8000000000	-0.5541319229	0.0000000132	0.0630194396	
0.8100000000	-0.5457993468	-0.0000000375	0.0169241466	
0.8200000000	-0.5376321517	0.0000000029	0.0062156478	
0.8300000000	-0.5296334416	0.0000000301	0.0027268860	
0.8400000000	-0.5218091476	-0.0000000316	0.0014970622	
0.8500000000	-0.5141603435	-0.0000000400	0.0008804451	
0.8600000000	-0.5066890355	-0.0000000164	0.0005614855	
0.8700000000	-0.4993944377	-0.0000000657	0.0003529801	
0.8800000000	-0.4922781609	0.0000000657	0.0002889328	
0.8900000000	-0.4853355515	0.0000000058	0.0002197007
0.9000000000 	-0.4785648872 	0.0000000454 	0.0001340449
0.9100000000 	-0.4719649833 	0.0000000062 	0.0001265038	
0.9200000000	-0.4655305417	-0.0000000124	0.0000918838	
0.9300000000	-0.4592581523	-0.0000000275	0.0000762240
0.9400000000 	-0.4531437146 	-0.0000001700 	0.0000642212
0.9500000000 	-0.4471834548 	0.0000000319 	0.0000533870	
0.9600000000	-0.4413712946	0.0000000301	0.0000436659
