# Temp          Free            Mag_h           Mag_h1
0.6800000000	-0.5926973845	-0.0000006441	0.4111289084	
0.6900000000	-0.5824482946	0.0000004206	0.3926298022	
0.7000000000	-0.5724010925	0.0000002268	0.3747923672	
0.7100000000	-0.5625546780	-0.0000004452	0.3569785357	
0.7200000000	-0.5529060759	0.0000004992	0.3209390342	
0.7300000000	-0.5434578226	-0.0000001540	0.2199023813	
0.7400000000	-0.5342142973	0.0000000062	0.0569618717	
0.7500000000	-0.5251829645	0.0000000113	0.0136737162	
0.7600000000	-0.5163653211	-0.0000000043	0.0055157058	
0.7700000000	-0.5077679970	0.0000000677	0.0021363178
0.7800000000 	-0.4993920032 	-0.0000006079 	0.0012149240	
0.7900000000	-0.4912386364	0.0000001927	0.0007566764	
0.8000000000	-0.4833070500	-0.0000000307	0.0005294075	
0.8100000000	-0.4755956872	0.0000002263	0.0003695395	
0.8200000000	-0.4681005628	-0.0000002268	0.0002366796	
0.8300000000	-0.4608179698	-0.0000000454	0.0001566414	
0.8400000000	-0.4537434726	-0.0000000121	0.0001112893	
0.8500000000	-0.4468703210	-0.0000000989	0.0000889793	
0.8600000000	-0.4401930337	-0.0000000727	0.0000732596	
0.8700000000	-0.4337064663	-0.0000001582	0.0000594523	
0.8800000000	-0.4274029736	0.0000000699	0.0000515529
