# Temp          Free            Mag_h
#0.7800000000	-0.5810471716	0.5640400052	
#0.7900000000	-0.5699902215	0.5545584559	
#0.8000000000	-0.5591094377	0.5389751196	
#0.8100000000	-0.5484105419	0.5240427256	
0.8200000000	-0.5378973010	0.5070848465	
0.8300000000	-0.5275740953	0.4903238714	
0.8400000000	-0.5174500378	0.4721189439	
0.8500000000	-0.5075295990	0.4510072768	
0.8600000000	-0.4978198634	0.4278348982	
0.8700000000	-0.4883311652	0.3978594542	
0.8800000000	-0.4790721259	0.3449485004	
#0.8810000000	-0.4781616617	0.3364475071	
#0.8820000000	-0.4772505582	0.3268818557	
#0.8830000000	-0.4763438223	0.3134548366	
#0.8840000000	-0.4754387676	0.2985469401	
#0.8850000000	-0.4745350561	0.2829427123	
#0.8860000000	-0.4736362215	0.2578682601	
#0.8870000000	-0.4727390141	0.2290778458	
#0.8880000000	-0.4718443213	0.1985955685	
#0.8890000000	-0.4709526769	0.1578810364	
0.8900000000	-0.4700626504	0.1240520850	
#0.8910000000	-0.4691776041	0.0981746688	
#0.8920000000	-0.4682919616	0.0747434050	
#0.8930000000	-0.4674123501	0.0547490381	
#0.8940000000	-0.4665310434	0.0429636426	
#0.8950000000	-0.4656565719	0.0327633135	
#0.8960000000	-0.4647838346	0.0268189050	
#0.8970000000	-0.4639134848	0.0212480109	
#0.8980000000	-0.4630456603	0.0172580574	
#0.8990000000	-0.4621820200	0.0148934675	
0.9000000000	-0.4613193923	0.0122712795	
0.9100000000	-0.4528679364	0.0027509641	
0.9200000000	-0.4447142205	0.0010792790	
0.9300000000	-0.4368632934	0.0004511113	
0.9400000000	-0.4293017315	0.0002967218	
0.9500000000	-0.4220276214	0.0001760400	
0.9600000000	-0.4150241580	0.0001201848	
0.9700000000	-0.4082792434	0.0000878802	
0.9800000000	-0.4017781141	0.0000644836	
0.9900000000	-0.3955102448	0.0000506464	
1.0000000000	-0.3894616845	0.0000376035	
1.0100000000	-0.3836202747	0.0000328273	
1.0200000000	-0.3779745350	0.0000295608
