# Temp          Free            Mag_h           Mag_h1
0.7600000000 	-0.5890051736 	0.0000003009 	0.4892428517
0.7700000000	-0.5800651498	-0.0000000869	0.3009183407	
0.7800000000	-0.5712699967	-0.0000000321	0.2261497676	
0.7900000000	-0.5626246724	-0.0000000483	0.0414822474	
0.8000000000	-0.5541333130	0.0000001526	0.0070162085	
0.8100000000	-0.5458009303	-0.0000000724	0.0013937666	
0.8200000000	-0.5376329808	-0.0000000112	0.0005327269	
0.8300000000	-0.5296346843	-0.0000000384	0.0002575956	
0.8400000000	-0.5218093507	-0.0000000141	0.0001477039	
0.8500000000	-0.5141601156	0.0000000453	0.0000935309	
0.8600000000	-0.5066892499	0.0000000025	0.0000355215	
0.8700000000	-0.4993953587	-0.0000000525	0.0000542463	
0.8800000000	-0.4922782866	0.0000000514	0.0000317701	
0.8900000000	-0.4853357475	-0.0000000202	0.0000051900	
0.9000000000	-0.4785653211	-0.0000000277	0.0000315555
0.9100000000 	-0.4719656216 	-0.0000000566	0.0000053345
0.9200000000	-0.4655313196	0.0000000167	0.0000080548	
0.9300000000	-0.4592584914	-0.0000000617	0.0000073539	
0.9400000000	-0.4531438636	0.0000000288	0.0000060695	
0.9500000000	-0.4471832344	0.0000000156	0.0000040424
0.9600000000 	-0.4413734423 	0.0000000043 	0.0000062208
