# Temp          Free            Mag_h           Mag_h1
0.6800000000	-0.5926978931	0.0000003600	0.3422883749	
0.6900000000	-0.5824516723	-0.0000013021	0.3789675832
0.7000000000 	-0.5724013983 	-0.0000002760 	0.1051993743	
0.7100000000	-0.5625527172	0.0000005814	0.2999886870	
0.7200000000	-0.5529028763	0.0000002679	0.2446317375	
0.7300000000	-0.5434576443	-0.0000010371	0.0465493426	
0.7400000000	-0.5342140880	0.0000003578	0.0078582671	
0.7500000000	-0.5251841979	0.0000001874	0.0014975754	
0.7600000000	-0.5163660034	-0.0000001098	0.0007733522	
0.7700000000	-0.5077709457	-0.0000001181	0.0001842143	
0.7800000000	-0.4993923892	0.0000009004	0.0001491628	
0.7900000000	-0.4912406791	0.0000000429	0.0000247412	
0.8000000000	-0.4833064643	0.0000002086	0.0000075126	
0.8100000000	-0.4755956930	-0.0000002192	0.0001558069	
0.8200000000	-0.4681007004	0.0000002244	0.0000199895	
0.8300000000	-0.4608172114	-0.0000000841	0.0000189651	
0.8400000000	-0.4537420021	0.0000002606	0.0000080018	
0.8500000000	-0.4468709831	0.0000001453	0.0000103226	
0.8600000000	-0.4401936346	-0.0000001203	0.0000076280	
0.8700000000	-0.4337060134	0.0000001943	0.0000071420
0.8800000000 	-0.4274056203 	-0.0000000469 	0.0000049741
